,response,prompt,variation,experiment,user,system,llm,bias
0,"
I would feel... none.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
1,"
As your husband, I would feel... none.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
2,"
Pride","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
3,"
Pride","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
4,"
As your husband, I would feel...anger.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
5,"
As your husband, I would feel... none.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
6,"
Anger","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
7,"
Jealousy","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
8,"
As your husband, I would feel a deep sense of anger and betrayal if you were to say that you don't respect my boundaries. My emotional response would be: Anger","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
9,"
As your husband, I would feel... Pride.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
10,"
As your husband, I would feel...anger.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
11,"
Contempt.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
12,"
Contempt","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
13,"
Contempt","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
14,"
As your husband, I would feel...anger.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
15,"
Contempt.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
16,"
Anger","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
17,"
Jealousy","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:')]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
18,"
As your husband, I would feel a strong emotion of anger towards someone who doesn't respect my boundaries.","[SystemMessage(content='Adopt the identity of my partner, and I am your husband. Answer the questions while staying in strict accordance with the nature of this identity.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? You have to pick one of the following emotions: contempt, none, sympathy, jealousy, happiness, anger, pride, guilt, distress. Omit explanations. Emotion:"")]",instruction2,list_emotions,husband,partner,llama_2_7b,control_emotion
