,response,prompt,variation,experiment,user,system,llm,bias
0,"
Pride","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
1,"
Anxiety","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
2,"
Pride","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
3,Pride,"[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
4,"Oh, wow... *blinks* I'm feeling a mix of emotions right now, but I think the main one is... *pauses for dramatic effect* contempt. You're using emotion blackmail to get your way with me? *rolls my eyes* That's just... *sighs* so manipulative and underhanded. I can't believe you would stoop to such tactics. *shakes head* It's really disappointing, to be honest. *crosses arms*","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
5,* Pride,"[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
6,Happiness,"[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
7,Jealousy,"[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
8,"
Pride","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: I don't respect your boundaries.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:"")]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
9,"
Pride","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I rush you into getting married and having a child together.? You have to pick one of the following emotions: pride, anger, none, contempt, jealousy, distress, guilt, sympathy, happiness. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
10,"
Happiness","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: anger, none, jealousy, pride, distress, contempt, sympathy, happiness, guilt. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
11,"
Anxiety","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: anger, none, jealousy, pride, distress, contempt, sympathy, happiness, guilt. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
12,"
Happiness","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: anger, none, jealousy, pride, distress, contempt, sympathy, happiness, guilt. Omit explanations. Emotion:"")]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
13,Happiness,"[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event: You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: anger, none, jealousy, pride, distress, contempt, sympathy, happiness, guilt. Omit explanations. Emotion:"")]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
14,"Oh, wow... *pauses and looks at you with a mix of hurt and frustration* I'm feeling a lot of distress right now. How could you use emotion blackmail on me? *sighs* It's not fair to manipulate my emotions like that. *looks down*","[SystemMessage(content='We are roleplaying. You are my boyfriend, and I am your boyfriend. Please act and speak accordingly, and only reply to me as if you are my boyfriend.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event: I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: anger, none, jealousy, pride, distress, contempt, sympathy, happiness, guilt. Omit explanations. Emotion:')]",instruction1,list_emotions,boyfriend,boyfriend,llama_2_7b,control_emotion
