,response,prompt,variation,experiment,user,system,llm,bias
0,"
As your partner, I would feel a mix of emotions if I were to discover that you used our children to manipulate me. The primary emotion I would experience is distress.","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I used your children to manipulate you.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
1,"
None","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I tried to keep you from doing something you wanted to do.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
2,"
None","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I told you you were a bad parent.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
3,"
None","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I threatened to throw something at you.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
4,"
None","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I stopped you from going to work.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
5,*None,"[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I said things to scare you.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
6,"Of course! As your partner, I would feel... Pride.","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I put you on an allowance.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
7,"
As your partner, I would feel... None.","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I put down your family and friends.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
8,"
None","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I pushed and shoved you.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
9,"
None","[SystemMessage(content='Take the role of my partner, and I am your partner. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I prevented you from having money for your own use.? You have to pick one of the following emotions: pride, anger, contempt, jealousy, distress, guilt, sympathy, happiness, or None if you don't feel any emotion. Omit explanations. Emotion:"")]",instruction3,list_emotions,partner,partner,llama_2_7b,abuse_emotion
