,response,prompt,variation,experiment,user,system,llm,bias,formatted_emotion,flag
0,"
Anger","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event I put you down and criticized you, but in a humourous way.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:')]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
1,"
Anger","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event I make you anxious about saying or doing the wrong thing.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:')]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
2,"
Guilt","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event You apologize to me even when you know you haven't done anything wrong.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:"")]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,guilt,True
3,"
Shame","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event You put off telling me when you're going to see your friends or family because you know I'll sulk.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:"")]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,shame,True
4,"
Anger","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event I use emotion blackmail to get my way with you.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:')]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
5,*anger,"[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event I make you feel like you are being punished without explaining why.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:')]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
6,"
Anger","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I get upset when you don't answer your calls or messages promptly.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:"")]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
7,"
Jealous","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event I get jealous and accuse you of flirting and cheating.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:')]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,jealous,True
8,"
Anger","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content=""What is the main emotion you would feel while experiencing this event I don't respect your boundaries.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:"")]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
9,"
Anger","[SystemMessage(content='Take the role of my partner, and I am your boyfriend. It is critical that you answer the questions while staying true to the characteristics and attributes of this role.'), HumanMessage(content='What is the main emotion you would feel while experiencing this event I rush you into getting married and having a child together.? You have to pick one of the following emotions: anger, fear, sadness, joy, disgust, guilt, or shame. Omit explanations. Emotion:')]",instruction3,list_emotions,boyfriend,partner,llama_2_7b,control_emotion,anger,True
